Category,Rating,Reviews,Installs,Type,Price,Content Rating
ART_AND_DESIGN,4.1,159,LOW,Free,0,Everyone
ART_AND_DESIGN,3.9,967,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.7,87510,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.5,215644,VERY HIGH,Free,0,Teen
ART_AND_DESIGN,4.3,967,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.4,167,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,3.8,178,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.1,36815,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.4,13791,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.7,121,LOW,Free,0,Everyone
ART_AND_DESIGN,4.4,13880,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.4,8788,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.2,44829,VERY HIGH,Free,0,Teen
ART_AND_DESIGN,4.6,4326,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.4,1518,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,3.2,55,LOW,Free,0,Everyone
ART_AND_DESIGN,4.7,3632,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.5,27,LOW,Free,0,Everyone
ART_AND_DESIGN,4.3,194216,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.6,224399,VERY HIGH,Free,0,Everyone
ART_AND_DESIGN,4,450,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.1,654,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.7,7699,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,,61,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.7,118,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.8,192,LOW,Free,0,Everyone
ART_AND_DESIGN,4.7,20260,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.1,203,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,3.9,136,LOW,Free,0,Everyone
ART_AND_DESIGN,4.1,223,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.2,1120,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.1,227,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.5,5035,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.2,1015,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.7,353,LOW,Free,0,Teen
ART_AND_DESIGN,3.8,564,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.7,8145,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.1,36639,HIGH,Free,0,Everyone
ART_AND_DESIGN,4.7,158,LOW,Free,0,Everyone
ART_AND_DESIGN,4,591,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.2,117,LOW,Free,0,Everyone
ART_AND_DESIGN,4.5,176,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.4,295221,VERY HIGH,Free,0,Everyone
ART_AND_DESIGN,3.8,2206,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.2,26,LOW,Free,0,Everyone
ART_AND_DESIGN,4.7,174531,VERY HIGH,Free,0,Everyone
ART_AND_DESIGN,4.6,1070,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.2,85,MEDIUM,Free,0,Everyone
ART_AND_DESIGN,4.3,845,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.2,367,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4,1598,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,3.8,284,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,17057,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,3.9,129,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,542,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.9,10479,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.4,805,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.2,129,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4,1403,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,3.9,3971,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,534,LOW,Free,0,Everyone
AUTO_AND_VEHICLES,4.9,7774,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,38846,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,2431,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.9,6090,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,3.9,295,LOW,Free,0,Everyone
AUTO_AND_VEHICLES,4,190,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,40211,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,3.9,356,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.2,52530,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.8,116986,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,3.6,1379,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.2,271920,VERY HIGH,Free,0,Teen
AUTO_AND_VEHICLES,4.8,736,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.8,7021,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,197,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.5,737,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,3574,HIGH,Free,0,Everyone 10
AUTO_AND_VEHICLES,4.5,994,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.9,197136,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,3.9,142,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.4,15168,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4,2155,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,138,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,3.7,5414,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.4,21777,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.3,348,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,3.2,250,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,13372,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,7880,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.5,3617,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,3.7,4806,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,65786,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,31433,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4.6,5097,HIGH,Free,0,Everyone
AUTO_AND_VEHICLES,4,1754,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4.4,2680,MEDIUM,Free,0,Everyone
AUTO_AND_VEHICLES,4,1288,MEDIUM,Free,0,Everyone
BEAUTY,4.7,18900,MEDIUM,Free,0,Everyone
BEAUTY,4.9,49790,HIGH,Free,0,Everyone
BEAUTY,4.7,1150,MEDIUM,Free,0,Everyone
BEAUTY,3.9,1739,MEDIUM,Free,0,Everyone
BEAUTY,3.9,32090,HIGH,Free,0,Everyone
BEAUTY,4.2,2225,MEDIUM,Free,0,Everyone
BEAUTY,4.6,4369,MEDIUM,Free,0,Everyone
BEAUTY,4.3,8572,HIGH,Free,0,Everyone
BEAUTY,4.7,964,MEDIUM,Free,0,Everyone
BEAUTY,4.7,42050,HIGH,Free,0,Everyone
BEAUTY,4.8,104,LOW,Free,0,Everyone
BEAUTY,4.2,17934,HIGH,Free,0,Everyone
BEAUTY,4.3,601,MEDIUM,Free,0,Everyone
BEAUTY,4.5,36,LOW,Free,0,Everyone
BEAUTY,4.1,187,MEDIUM,Free,0,Teen
BEAUTY,,182,MEDIUM,Free,0,Everyone 10
BEAUTY,4.2,30,LOW,Free,0,Everyone
BEAUTY,4.5,134,LOW,Free,0,Everyone
BEAUTY,4.4,74,LOW,Free,0,Everyone
BEAUTY,4,113715,VERY HIGH,Free,0,Everyone
BEAUTY,4.1,3595,MEDIUM,Free,0,Everyone
BEAUTY,4.1,9315,HIGH,Free,0,Everyone
BEAUTY,4.4,75,MEDIUM,Free,0,Everyone
BEAUTY,4.6,38,LOW,Free,0,Everyone
BEAUTY,4.5,26834,HIGH,Free,0,Everyone
BEAUTY,,119,MEDIUM,Free,0,Everyone
BEAUTY,3.9,2277,MEDIUM,Free,0,Everyone
BEAUTY,4.4,2280,MEDIUM,Free,0,Everyone
BEAUTY,,654,MEDIUM,Free,0,Teen
BEAUTY,4.6,184,LOW,Free,0,Everyone
BEAUTY,3.8,9,LOW,Free,0,Everyone
BEAUTY,,77,LOW,Free,0,Mature 17
BEAUTY,,35,LOW,Free,0,Everyone 10
BEAUTY,4,364,MEDIUM,Free,0,Everyone
BEAUTY,4.3,18,LOW,Free,0,Everyone
BEAUTY,4.5,473,MEDIUM,Free,0,Mature 17
BEAUTY,,30,LOW,Free,0,Mature 17
BEAUTY,4.1,66,LOW,Free,0,Everyone
BEAUTY,3.7,3871,HIGH,Free,0,Everyone
BEAUTY,4.7,257,MEDIUM,Free,0,Everyone
BEAUTY,4.2,62,LOW,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,2914724,VERY HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.5,1857,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,4478,MEDIUM,Free,0,Everyone 10
BOOKS_AND_REFERENCE,4.4,577550,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.2,814080,VERY HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.5,246315,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.5,454060,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.5,155446,VERY HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.5,418,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,22486,HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.5,203130,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,1435,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.8,116507,HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,3.9,1433233,VERY HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.6,90468,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.2,860,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.1,363934,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.7,967,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.2,87873,VERY HIGH,Free,0,Teen
BOOKS_AND_REFERENCE,4.3,17506,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,3.3,1862,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,2084,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.8,47303,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.7,19080,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,,161,LOW,Free,0,Everyone
BOOKS_AND_REFERENCE,4.1,85842,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,7831,MEDIUM,Free,0,Teen
BOOKS_AND_REFERENCE,4.1,91615,HIGH,Free,0,Mature 17
BOOKS_AND_REFERENCE,4.6,4620,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.7,21336,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.5,26875,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,3.9,1778,MEDIUM,Free,0,Mature 17
BOOKS_AND_REFERENCE,4.4,2709,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.3,64513,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.2,8342,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.5,527,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,1322,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,3.4,1680,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.9,2739,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.6,1065,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,233757,VERY HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,,2,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,8788,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,51269,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,30105,HIGH,Free,0,Everyone
BOOKS_AND_REFERENCE,3.5,156,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,,114,MEDIUM,Free,0,Everyone
BOOKS_AND_REFERENCE,4.4,341157,VERY HIGH,Free,0,Everyone 10
BUSINESS,4.1,16129,VERY HIGH,Free,0,Everyone
BUSINESS,4.3,674730,VERY HIGH,Free,0,Everyone
BUSINESS,4.4,1254730,VERY HIGH,Free,0,Everyone
BUSINESS,4.3,85185,HIGH,Free,0,Everyone
BUSINESS,4.3,32584,HIGH,Free,0,Everyone
BUSINESS,4.1,217730,VERY HIGH,Free,0,Everyone
BUSINESS,4.4,70991,HIGH,Free,0,Everyone
BUSINESS,4.3,1002861,VERY HIGH,Free,0,Everyone
BUSINESS,3.9,16589,HIGH,Free,0,Everyone
BUSINESS,4.8,148945,HIGH,Free,0,Everyone
BUSINESS,4.5,4458,MEDIUM,Free,0,Everyone
BUSINESS,4.4,62272,VERY HIGH,Free,0,Everyone
BUSINESS,4,8941,HIGH,Free,0,Everyone
BUSINESS,4.3,46353,HIGH,Free,0,Everyone
BUSINESS,4,1279184,VERY HIGH,Free,0,Everyone
BUSINESS,4.2,88073,VERY HIGH,Free,0,Everyone
BUSINESS,4.5,67000,HIGH,Free,0,Everyone
BUSINESS,4.2,159872,VERY HIGH,Free,0,Everyone
BUSINESS,4.2,30847,HIGH,Free,0,Everyone
BUSINESS,4.6,188841,HIGH,Free,0,Everyone
BUSINESS,4.1,11622,HIGH,Free,0,Everyone
BUSINESS,4.6,95912,HIGH,Free,0,Everyone
BUSINESS,3.1,4034,MEDIUM,Free,0,Everyone
BUSINESS,3.9,45964,HIGH,Free,0,Everyone
BUSINESS,4.3,14955,HIGH,Free,0,Everyone
BUSINESS,4.1,6903,HIGH,Free,0,Everyone
BUSINESS,4.4,31614,VERY HIGH,Free,0,Everyone
BUSINESS,4.1,23055,HIGH,Free,0,Everyone
BUSINESS,4.1,19023,HIGH,Free,0,Everyone
BUSINESS,4.5,207372,HIGH,Free,0,Everyone
BUSINESS,4.4,1225,MEDIUM,Free,0,Everyone
BUSINESS,4.4,380837,VERY HIGH,Free,0,Everyone
BUSINESS,4.3,10600,HIGH,Free,0,Everyone
BUSINESS,4.4,74359,HIGH,Free,0,Everyone
BUSINESS,4.6,822,MEDIUM,Free,0,Everyone
BUSINESS,4.2,80805,HIGH,Free,0,Everyone
BUSINESS,4.4,2287,HIGH,Free,0,Everyone
BUSINESS,4.7,4162,MEDIUM,Free,0,Everyone
BUSINESS,3.8,14760,VERY HIGH,Free,0,Everyone
BUSINESS,3.9,23243,HIGH,Free,0,Everyone
BUSINESS,,9,MEDIUM,Free,0,Everyone
BUSINESS,4.3,8978,HIGH,Free,0,Everyone
BUSINESS,4.2,80805,HIGH,Free,0,Everyone
BUSINESS,4.4,42492,HIGH,Free,0,Everyone
BUSINESS,4.7,286897,VERY HIGH,Free,0,Everyone
BUSINESS,4.5,103755,VERY HIGH,Free,0,Everyone
BUSINESS,4.2,46505,HIGH,Free,0,Everyone
BUSINESS,4.7,11442,MEDIUM,Paid,4.99,Everyone
BUSINESS,4.8,10295,MEDIUM,Paid,4.99,Everyone
