Category,Content Rating,Reviews,Installs,Type,Price,Rating
ART_AND_DESIGN,Everyone,159,10000,Free,0,4.1
ART_AND_DESIGN,Everyone,967,500000,Free,0,3.9
ART_AND_DESIGN,Everyone,87510,5000000,Free,0,4.7
ART_AND_DESIGN,Teen,215644,50000000,Free,0,4.5
ART_AND_DESIGN,Everyone,967,100000,Free,0,4.3
ART_AND_DESIGN,Everyone,167,50000,Free,0,4.4
ART_AND_DESIGN,Everyone,178,50000,Free,0,3.8
ART_AND_DESIGN,Everyone,36815,1000000,Free,0,4.1
ART_AND_DESIGN,Everyone,13791,1000000,Free,0,4.4
ART_AND_DESIGN,Everyone,121,10000,Free,0,4.7
ART_AND_DESIGN,Everyone,13880,1000000,Free,0,4.4
ART_AND_DESIGN,Everyone,8788,1000000,Free,0,4.4
ART_AND_DESIGN,Teen,44829,10000000,Free,0,4.2
ART_AND_DESIGN,Everyone,4326,100000,Free,0,4.6
ART_AND_DESIGN,Everyone,1518,100000,Free,0,4.4
ART_AND_DESIGN,Everyone,55,5000,Free,0,3.2
ART_AND_DESIGN,Everyone,3632,500000,Free,0,4.7
ART_AND_DESIGN,Everyone,27,10000,Free,0,4.5
ART_AND_DESIGN,Everyone,194216,5000000,Free,0,4.3
ART_AND_DESIGN,Everyone,224399,10000000,Free,0,4.6
ART_AND_DESIGN,Everyone,450,100000,Free,0,4
ART_AND_DESIGN,Everyone,654,100000,Free,0,4.1
ART_AND_DESIGN,Everyone ,7699,500000,Free,0,4.7
ART_AND_DESIGN,Everyone,61,100000,Free,0,NaN
ART_AND_DESIGN,Everyone,118,50000,Free,0,4.7
ART_AND_DESIGN,Everyone,192,10000,Free,0,4.8
ART_AND_DESIGN,Everyone,20260,500000,Free,0,4.7
ART_AND_DESIGN,Everyone,203,100000,Free,0,4.1
ART_AND_DESIGN,Everyone,136,10000,Free,0,3.9
ART_AND_DESIGN,Everyone,223,100000,Free,0,4.1
ART_AND_DESIGN,Everyone,1120,100000,Free,0,4.2
ART_AND_DESIGN,Everyone,227,50000,Free,0,4.1
ART_AND_DESIGN,Everyone,5035,100000,Free,0,4.5
ART_AND_DESIGN,Everyone,1015,100000,Free,0,4.2
ART_AND_DESIGN,Teen,353,10000,Free,0,4.7
ART_AND_DESIGN,Everyone,564,100000,Free,0,3.8
ART_AND_DESIGN,Everyone,8145,500000,Free,0,4.7
ART_AND_DESIGN,Everyone,36639,5000000,Free,0,4.1
ART_AND_DESIGN,Everyone,158,10000,Free,0,4.7
ART_AND_DESIGN,Everyone,591,500000,Free,0,4
ART_AND_DESIGN,Everyone,117,10000,Free,0,4.2
ART_AND_DESIGN,Everyone,176,100000,Free,0,4.5
ART_AND_DESIGN,Everyone,295221,10000000,Free,0,4.4
ART_AND_DESIGN,Everyone,2206,100000,Free,0,3.8
ART_AND_DESIGN,Everyone,26,10000,Free,0,4.2
ART_AND_DESIGN,Everyone,174531,10000000,Free,0,4.7
ART_AND_DESIGN,Everyone,1070,100000,Free,0,4.6
ART_AND_DESIGN,Everyone,85,100000,Free,0,4.2
ART_AND_DESIGN,Everyone,845,100000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,367,100000,Free,0,4.2
AUTO_AND_VEHICLES,Everyone,1598,1000000,Free,0,4
AUTO_AND_VEHICLES,Everyone,284,100000,Free,0,3.8
AUTO_AND_VEHICLES,Everyone,17057,1000000,Free,0,4.6
AUTO_AND_VEHICLES,Everyone,129,100000,Free,0,3.9
AUTO_AND_VEHICLES,Everyone,542,100000,Free,0,4.3
AUTO_AND_VEHICLES,Everyone,10479,100000,Free,0,4.9
AUTO_AND_VEHICLES,Everyone,805,50000,Free,0,4.4
AUTO_AND_VEHICLES,Everyone,129,100000,Free,0,4.2
AUTO_AND_VEHICLES,Everyone,1403,100000,Free,0,4
AUTO_AND_VEHICLES,Everyone,3971,100000,Free,0,3.9
