category,installs
ART_AND_DESIGN,124338100
AUTO_AND_VEHICLES,53130211
BEAUTY,27197050
BOOKS_AND_REFERENCE,1921469576
BUSINESS,1001914865
COMICS,56086150
COMMUNICATION,32647276251
DATING,264310807
EDUCATION,871452000
ENTERTAINMENT,2869160000
EVENTS,15973161
FAMILY,10258263505
FINANCE,876648734
FOOD_AND_DRINK,273898751
GAME,35086024415
HEALTH_AND_FITNESS,1583072512
HOUSE_AND_HOME,168712461
LIBRARIES_AND_DEMO,62995910
LIFESTYLE,537643539
MAPS_AND_NAVIGATION,724281890
MEDICAL,53257437
NEWS_AND_MAGAZINES,7496317760
PARENTING,31521110
PERSONALIZATION,2325494782
PHOTOGRAPHY,10088247655
PRODUCTIVITY,14176091369
SHOPPING,3247848785
SOCIAL,14069867902
SPORTS,1751174498
TOOLS,11452771915
TRAVEL_AND_LOCAL,6868887146
VIDEO_PLAYERS,6222002720
WEATHER,426100520
